Ticker,Name,Inception Date,IPO Date
CMR,iShares Premium Money Market ETF,2008-02-19,2008
CBH,iShares 1-10 Year Laddered Corporate Bond Index ETF,2011-10-20,2011
CLG,iShares 1-10 Year Laddered Government Bond Index ETF,2011-10-20,2011
CBO,iShares 1-5 Year Laddered Corporate Bond Index ETF,2009-02-25,2009
CLF,iShares 1-5 Year Laddered Government Bond Index ETF,2008-01-31,2008
XQB,iShares High Quality Canadian Bond Index ETF,2009-11-19,2009
CVD,iShares Convertible Bond Index ETF,2011-06-14,2011
CSD,iShares Short Duration High Income ETF (CAD-Hedged),2011-03-01,2011
CHB,iShares U.S. High Yield Fixed Income Index ETF (CAD-Hedged),2010-01-11,2010
XGRO,iShares Core Growth ETF Portfolio,2007-06-21,2007
XBAL,iShares Core Balanced ETF Portfolio,2007-06-21,2007
CWO,iShares Emerging Markets Fundamental Index ETF,2009-04-07,2009
FIE,iShares Canadian Financial Monthly Income ETF,2010-04-16,2010
CRQ,iShares Canadian Fundamental Index ETF,2006-02-22,2006
XCH,iShares China Index ETF,2010-01-21,2010
XCB,iShares Core Canadian Corporate Bond Index ETF,2006-11-06,2006
XGB,iShares Core Canadian Government Bond Index ETF,2006-11-06,2006
XFR,iShares Floating Rate Index ETF,2011-12-06,2011
XHB,iShares Canadian HYBrid Corporate Bond Index ETF,2010-09-22,2010
XLB,iShares Core Canadian Long Term Bond Index ETF,2006-11-06,2006
XRB,iShares Canadian Real Return Bond Index ETF,2005-12-19,2005
XSB,iShares Core Canadian Short Term Bond Index ETF,2000-11-20,2000
XSH,iShares Core Canadian Short Term Corporate Bond Index ETF,2011-09-13,2011
XBB,iShares Core Canadian Universe Bond Index ETF,2000-11-20,2000
XTR,iShares Diversified Monthly Income ETF,2005-12-19,2005
XDV,iShares Canadian Select Dividend Index ETF,2005-12-19,2005
XCG,iShares Canadian Growth Index ETF,2006-11-06,2006
XCV,iShares Canadian Value Index ETF,2006-11-06,2006
CEW,iShares Equal Weight Banc & Lifeco ETF,2008-02-06,2008
COW,iShares Global Agriculture Index ETF,2007-12-19,2007
CIF,iShares Global Infrastructure Index ETF,2008-08-27,2008
CYH,iShares Global Monthly Dividend Index ETF (CAD-Hedged),2008-01-15,2008
CGR,iShares Global Real Estate Index ETF,2008-08-26,2008
CIE,iShares International Fundamental Index ETF,2007-02-14,2007
XEB,iShares J.P. Morgan USD Emerging Markets Bond Index ETF (CAD,2011-04-12,2011
XEN,iShares Jantzi Social Index ETF,2007-05-14,2007
CJP,iShares Japan Fundamental Index ETF (CAD-Hedged),2007-02-14,2007
XMW,iShares MSCI Min Vol Global Index ETF,2012-07-24,2012
XMV,iShares MSCI Min Vol Canada Index ETF,2012-07-24,2012
XIN,iShares MSCI EAFE Index ETF (CAD-Hedged),2001-09-06,2001
XMI,iShares MSCI Min Vol EAFE Index ETF,2012-07-24,2012
XEM,iShares MSCI Emerging Markets Index ETF,2009-06-18,2009
XMM,iShares MSCI Min Vol Emerging Markets Index ETF,2012-07-24,2012
XMU,iShares MSCI Min Vol USA Index ETF,2012-07-24,2012
XWD,iShares MSCI World Index ETF,2009-06-18,2009
XQQ,iShares NASDAQ 100 Index ETF (CAD-Hedged),2011-05-03,2011
XSU,iShares U.S. Small Cap Index ETF (CAD-Hedged),2007-05-14,2007
XSP,iShares Core S&P 500 Index ETF (CAD- Hedged),2001-05-24,2001
XID,iShares India Index ETF,2010-01-21,2010
XHC,iShares Global Healthcare Index ETF (CAD-Hedged),2011-04-12,2011
CWW,iShares Global Water Index ETF,2007-06-04,2007
CUD,iShares US Dividend Growers Index ETF (CAD-Hedged),2011-09-13,2011
XIU,iShares S&P/TSX 60 Index ETF,1999-09-28,1999
