etf_id,symbol
9209,CBH
757,CHB
791,CLF
1092,CSD
7387,XLB
7688,XHB
9684,XEC
10666,CMR
10668,CLG
10669,CBO
10671,XQB
10672,CVD
10677,CWO
10680,XCH
10681,XCB
10682,XGB
10683,XFR
10686,XRB
10687,XSB
10688,XSH
10689,XBB
10700,XEB
10702,CJP
10706,XMI
10707,XEM
10708,XMM
10714,XID
10736,XHY
10740,SVR.C
10741,CGL.C
10749,XSQ
10750,XSI
10756,CGL
10757,SVR
10758,XSC
10759,XSE
10783,DXV
10787,XSEM
10788,XSAB
10789,XSTB
10790,XGGB
10792,XINC
10802,XEC.U
10812,GCNS
10813,GBAL
10819,XSTH
10820,XSTP.U
10821,XSTP
10817,XULR
10818,XDLR
10826,XCBU
10823,XSHU
10808,XFS.U
10822,XIGS
10806,XDU.U
10805,XMU.U
10807,XDG.U
10816,XCLR
