Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
AACG,ATA Creativity Global American Depositary Shares,China,,NASDAQ,AACG
AAL,American Airlines Group Inc. Common Stock,United States,,NASDAQ,AAL
AAME,Atlantic American Corporation Common Stock,United States,,NASDAQ,AAME
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,NASDAQ,AAOI
AAON,AAON Inc. Common Stock,United States,,NASDAQ,AAON
AAPL,Apple Inc. Common Stock,United States,1980,NASDAQ,AAPL
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,United States,,NASDAQ,AAWW
ABCB,Ameris Bancorp Common Stock,United States,1994,NASDAQ,ABCB
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,NASDAQ,ABCL
ABCM,Abcam plc American Depositary Shares,United Kingdom,2020,NASDAQ,ABCM
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,NASDAQ,ABEO
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,United States,2021,NASDAQ,ABGI
ABIO,ARCA biopharma Inc. Common Stock,United States,,NASDAQ,ABIO
ABMD,ABIOMED Inc. Common Stock,United States,,NASDAQ,ABMD
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,NASDAQ,ABNB
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,NASDAQ,ABOS
ABST,Absolute Software Corporation Common Stock,Canada,2020,NASDAQ,ABST
ABTX,Allegiance Bancshares Inc. Common Stock,United States,2015,NASDAQ,ABTX
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,NASDAQ,ABUS
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,2004,NASDAQ,ACAD
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States,2021,NASDAQ,ACAH
ACAHU,Atlantic Coastal Acquisition Corp. Unit,United States,2021,NASDAQ,ACAHU
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,United States,2021,NASDAQ,ACAHW
ACB,Aurora Cannabis Inc. Common Shares,Canada,,NASDAQ,ACB
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Hong Kong,2021,NASDAQ,ACBA
ACBAU,Ace Global Business Acquisition Limited Unit,Hong Kong,2021,NASDAQ,ACBAU
ACBAW,Ace Global Business Acquisition Limited Warrant,Hong Kong,2021,NASDAQ,ACBAW
ACBI,Atlantic Capital Bancshares Inc. Common Stock,United States,,NASDAQ,ACBI
ACCD,Accolade Inc. Common Stock,United States,2020,NASDAQ,ACCD
ACER,Acer Therapeutics Inc. Common Stock (DE),United States,,NASDAQ,ACER
ACET,Adicet Bio Inc. Common Stock ,United States,2018,NASDAQ,ACET
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,United States,2020,NASDAQ,ACEV
ACEVU,ACE Convergence Acquisition Corp. Unit,United States,2020,NASDAQ,ACEVU
ACEVW,ACE Convergence Acquisition Corp. Warrant,United States,2020,NASDAQ,ACEVW
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,NASDAQ,ACGL
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,,NASDAQ,ACGLN
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,,NASDAQ,ACGLO
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Bermuda,,NASDAQ,ACGLP
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,NASDAQ,ACHC
ACHL,Achilles Therapeutics plc American Depositary Shares,United Kingdom,2021,NASDAQ,ACHL
ACHV,Achieve Life Sciences Inc. Common Shares,United States,,NASDAQ,ACHV
ACIU,AC Immune SA Common Stock,Switzerland,2016,NASDAQ,ACIU
ACIW,ACI Worldwide Inc. Common Stock,United States,,NASDAQ,ACIW
ACKIT,Ackrell SPAC Partners I Co. Subunits,United States,2021,NASDAQ,ACKIT
ACKIU,Ackrell SPAC Partners I Co. Units,United States,2020,NASDAQ,ACKIU
ACKIW,Ackrell SPAC Partners I Co. Warrants,United States,2021,NASDAQ,ACKIW
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,NASDAQ,ACLS
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,NASDAQ,ACMR
ACNB,ACNB Corporation Common Stock,United States,,NASDAQ,ACNB
ACOR,Acorda Therapeutics Inc. Common Stock,United States,2006,NASDAQ,ACOR
ACQR,Independence Holdings Corp. Class A Ordinary Share,United States,2021,NASDAQ,ACQR
ACQRU,Independence Holdings Corp. Units,United States,2021,NASDAQ,ACQRU
ACQRW,Independence Holdings Corp. Warrant,United States,2021,NASDAQ,ACQRW
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,NASDAQ,ACRS
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,United States,2011,NASDAQ,ACRX
ACST,Acasti Pharma Inc. Class A Common Stock,Canada,,NASDAQ,ACST
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,United States,2021,NASDAQ,ACTD
ACTDU,ArcLight Clean Transition Corp. II Unit,United States,2021,NASDAQ,ACTDU
ACTDW,ArcLight Clean Transition Corp. II Warrant,United States,2021,NASDAQ,ACTDW
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,NASDAQ,ACTG
ACVA,ACV Auctions Inc. Class A Common Stock,United States,2021,NASDAQ,ACVA
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,2021,NASDAQ,ACXP
ADAG,Adagene Inc. American Depositary Shares,China,2021,NASDAQ,ADAG
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,2015,NASDAQ,ADAP
ADBE,Adobe Inc. Common Stock,United States,1986,NASDAQ,ADBE
ADER,26 Capital Acquisition Corp. Class A Common Stock,United States,2021,NASDAQ,ADER
ADERU,26 Capital Acquisition Corp. Unit,United States,2021,NASDAQ,ADERU
ADERW,26 Capital Acquisition Corp. Warrant,United States,2021,NASDAQ,ADERW
ADES,Advanced Emissions Solutions Inc. Common Stock,United States,,NASDAQ,ADES
ADI,Analog Devices Inc. Common Stock,United States,,NASDAQ,ADI
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,2018,NASDAQ,ADIL
ADILW,Adial Pharmaceuticals Inc Warrant,United States,2018,NASDAQ,ADILW
ADMA,ADMA Biologics Inc Common Stock,United States,,NASDAQ,ADMA
ADMP,Adamis Pharmaceuticals Corporation Common Stock,United States,,NASDAQ,ADMP
ADMS,Adamas Pharmaceuticals Inc. Common Stock,United States,2014,NASDAQ,ADMS
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,2018,NASDAQ,ADN
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,2018,NASDAQ,ADNWW
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,United States,2020,NASDAQ,ADOC
ADOCR,Edoc Acquisition Corp. Right,United States,2020,NASDAQ,ADOCR
ADOCW,Edoc Acquisition Corp. Warrant,United States,2020,NASDAQ,ADOCW
ADP,Automatic Data Processing Inc. Common Stock,United States,,NASDAQ,ADP
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,NASDAQ,ADPT
ADSK,Autodesk Inc. Common Stock,United States,,NASDAQ,ADSK
ADTN,ADTRAN Inc. Common Stock,United States,1994,NASDAQ,ADTN
ADTX,Aditxt Inc. Common Stock,United States,2020,NASDAQ,ADTX
ADUS,Addus HomeCare Corporation Common Stock,United States,2009,NASDAQ,ADUS
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019,NASDAQ,ADV
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,2014,NASDAQ,ADVM
ADVWW,Advantage Solutions Inc. Warrant,United States,2019,NASDAQ,ADVWW
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,,NASDAQ,ADXN
ADXS,Advaxis Inc. Common Stock,United States,,NASDAQ,ADXS
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,United States,2021,NASDAQ,AEAC
