Symbol,Name,Country,IPO Year,Exchange,Cleaned Symbol
A,Agilent Technologies Inc. Common Stock,United States,1999,NYSE,A
AA,Alcoa Corporation Common Stock ,,2016,NYSE,AA
AAC,Ares Acquisition Corporation Class A Ordinary Shares,,2021,NYSE,AAC
AAIC,Arlington Asset Investment Corp Class A (new),United States,,NYSE,AAIC
AAIC^B,Arlington Asset Investment Corp 7.00% ,United States,,NYSE,AAIC.B
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,United States,,NYSE,AAIC.C
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,United States,,NYSE,AAIN
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,NYSE,AAN
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,United States,,NYSE,AAP
AAQC,Accelerate Acquisition Corp. Class A Common Stock,,2021,NYSE,AAQC
AAT,American Assets Trust Inc. Common Stock,United States,2011,NYSE,AAT
AB,AllianceBernstein Holding L.P.  Units,United States,,NYSE,AB
ABB,ABB Ltd Common Stock,Switzerland,,NYSE,ABB
ABBV,AbbVie Inc. Common Stock,United States,2012,NYSE,ABBV
ABC,AmerisourceBergen Corporation Common Stock,United States,,NYSE,ABC
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,2013,NYSE,ABEV
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,NYSE,ABG
ABM,ABM Industries Incorporated Common Stock,United States,,NYSE,ABM
ABR,Arbor Realty Trust Common Stock,United States,2004,NYSE,ABR
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,NYSE,ABR.D
ABT,Abbott Laboratories Common Stock,United States,,NYSE,ABT
AC,Associated Capital Group Inc. Common Stock,United States,2015,NYSE,AC
ACA,Arcosa Inc. Common Stock ,,2018,NYSE,ACA
ACC,American Campus Communities Inc Common Stock,United States,2004,NYSE,ACC
ACCO,Acco Brands Corporation Common Stock,United States,,NYSE,ACCO
ACEL,Accel Entertainment Inc. ,United States,2017,NYSE,ACEL
ACH,Aluminum Corporation of China Limited American Depositary Shares,China,2001,NYSE,ACH
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,NYSE,ACI
ACIC,Atlas Crest Investment Corp. Class A Common Stock,United States,2020,NYSE,ACIC
ACII,Atlas Crest Investment Corp. II Class A Common Stock,,2021,NYSE,ACII
ACM,AECOM Common Stock,United States,2007,NYSE,ACM
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,2001,NYSE,ACN
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,United States,2020,NYSE,ACND
ACP,Aberdeen Income Credit Strategies Fund Common Shares,United States,2011,NYSE,ACP
ACP^A,Aberdeen Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,United States,,NYSE,ACP.A
ACR,ACRES Commercial Realty Corp. Common Stock,United States,,NYSE,ACR
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,United States,,NYSE,ACR.C
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,United States,,NYSE,ACR.D
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,2012,NYSE,ACRE
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,2015,NYSE,ACV
ADC,Agree Realty Corporation Common Stock,United States,,NYSE,ADC
ADCT,ADC Therapeutics SA Common Shares,,2020,NYSE,ADCT
ADEX,Adit EdTech Acquisition Corp. Common Stock,,2021,NYSE,ADEX
ADF,Aldel Financial Inc. Class A Common Stock,,2021,NYSE,ADF
ADM,Archer-Daniels-Midland Company Common Stock,United States,,NYSE,ADM
ADNT,Adient plc Ordinary Shares ,,2016,NYSE,ADNT
ADS,Alliance Data Systems Corporation Common Stock,United States,2001,NYSE,ADS
ADT,ADT Inc. Common Stock,United States,2018,NYSE,ADT
ADX,Adams Diversified Equity Fund Inc.,United States,,NYSE,ADX
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),Netherlands,,NYSE,AEB
AEE,Ameren Corporation Common Stock,United States,,NYSE,AEE
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,2019,NYSE,AEFC
AEG,AEGON N.V. Common Stock,Netherlands,,NYSE,AEG
AEL,American Equity Investment Life Holding Company Common Stock,United States,2003,NYSE,AEL
AEL^A,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,United States,,NYSE,AEL.A
AEL^B,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,United States,,NYSE,AEL.B
AEM,Agnico Eagle Mines Limited Common Stock,Canada,,NYSE,AEM
AENZ,Aenza S.A.A. American Depositary Shares,,2018,NYSE,AENZ
AEO,American Eagle Outfitters Inc. Common Stock,United States,,NYSE,AEO
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,2006,NYSE,AER
AES,The AES Corporation Common Stock,United States,,NYSE,AES
AESC,The AES Corporation Corporate Units,United States,,NYSE,AESC
AEVA,Aeva Technologies Inc. Common Stock,,2020,NYSE,AEVA
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,2002,NYSE,AFB
AFG,American Financial Group Inc. Common Stock,United States,,NYSE,AFG
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,2019,NYSE,AFGB
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,2019,NYSE,AFGC
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,2020,NYSE,AFGD
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,2020,NYSE,AFGE
AFI,Armstrong Flooring Inc. Common Stock,,2016,NYSE,AFI
AFL,AFLAC Incorporated Common Stock,United States,,NYSE,AFL
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,,2011,NYSE,AFT
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada,,NYSE,AG
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,,2021,NYSE,AGAC
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,,2021,NYSE,AGCB
AGCO,AGCO Corporation Common Stock,United States,,NYSE,AGCO
AGD,Aberdeen Global Dynamic Dividend Fund,United States,2006,NYSE,AGD
AGI,Alamos Gold Inc. Class A Common Shares,Canada,2015,NYSE,AGI
AGL,agilon health inc. Common Stock,,2021,NYSE,AGL
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,,NYSE,AGM
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,United States,,NYSE,AGM.C
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,United States,,NYSE,AGM.D
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,United States,,NYSE,AGM.E
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,United States,,NYSE,AGM.F
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,United States,,NYSE,AGM.G
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,2004,NYSE,AGO
AGO^E,Assured Guaranty Ltd.,Bermuda,,NYSE,AGO.E
AGO^F,Assured Guaranty Ltd.,Bermuda,,NYSE,AGO.F
AGR,Avangrid Inc. Common Stock,United States,2015,NYSE,AGR
AGRO,Adecoagro S.A. Common Shares,Luxembourg,2011,NYSE,AGRO
AGS,PlayAGS Inc. Common Stock,United States,2018,NYSE,AGS
AGTI,Agiliti Inc. Common Stock,,2021,NYSE,AGTI
AGX,Argan Inc. Common Stock,United States,,NYSE,AGX
AHH,Armada Hoffler Properties Inc. Common Stock,United States,2013,NYSE,AHH
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,NYSE,AHH.A
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Bermuda,,NYSE,AHL.C
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,NYSE,AHL.D
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,NYSE,AHL.E
AHT,Ashford Hospitality Trust Inc Common Stock,United States,2003,NYSE,AHT
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States,,NYSE,AHT.D
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States,,NYSE,AHT.F
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States,,NYSE,AHT.G
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States,,NYSE,AHT.H
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States,,NYSE,AHT.I
AI,C3.ai Inc. Class A Common Stock,,2020,NYSE,AI
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,United States,2015,NYSE,AIC
AIF,Apollo Tactical Income Fund Inc. Common Stock,,2013,NYSE,AIF
AIG,American International Group Inc. New Common Stock,United States,,NYSE,AIG
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,United States,,NYSE,AIG.A
AIN,Albany International Corporation Common Stock,United States,,NYSE,AIN
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,,2019,NYSE,AIO
AIR,AAR Corp. Common Stock,United States,,NYSE,AIR
AIRC,Apartment Income REIT Corp. Common Stock,,2020,NYSE,AIRC
AIT,Applied Industrial Technologies Inc. Common Stock,United States,,NYSE,AIT
AIV,Apartment Investment and Management Company Common Stock,United States,1994,NYSE,AIV
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,United States,,NYSE,AIW
AIZ,Assurant Inc. Common Stock,United States,2004,NYSE,AIZ
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,2020,NYSE,AIZN
AJAX,Ajax I Class A Ordinary Shares,United States,2020,NYSE,AJAX
AJG,Arthur J. Gallagher & Co. Common Stock,United States,,NYSE,AJG
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,United States,,NYSE,AJRD
AJX,Great Ajax Corp. Common Stock,United States,2015,NYSE,AJX
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,United States,2017,NYSE,AJXA
AKO/A,Embotelladora Andina S.A.,Chile,,NYSE,AKO/A
AKO/B,Embotelladora Andina S.A.,Chile,,NYSE,AKO/B
AKR,Acadia Realty Trust Common Stock,United States,,NYSE,AKR
AL,Air Lease Corporation Class A Common Stock,United States,2011,NYSE,AL
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,,NYSE,AL.A
ALB,Albemarle Corporation Common Stock,United States,,NYSE,ALB
ALC,Alcon Inc. Ordinary Shares,Switzerland,2019,NYSE,ALC
ALCC,AltC Acquisition Corp. Class A Common Stock,,2021,NYSE,ALCC
ALE,Allete Inc.,United States,,NYSE,ALE
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,,NYSE,ALEX
ALG,Alamo Group Inc. Common Stock,United States,,NYSE,ALG
ALIN^A,Altera Infrastructure L.P. 7.25% Series A ,Bermuda,,NYSE,ALIN.A
ALIN^B,Altera Infrastructure L.P. 8.50% Series B ,Bermuda,,NYSE,ALIN.B
ALIN^E,Altera Infrastructure L.P. 8.875% Series E ,Bermuda,,NYSE,ALIN.E
ALIT,Alight Inc. Class A Common Stock,,2021,NYSE,ALIT
ALK,Alaska Air Group Inc. Common Stock,United States,,NYSE,ALK
ALL,Allstate Corporation (The) Common Stock,United States,,NYSE,ALL
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,United States,,NYSE,ALL.B
