Symbol,Name,Country,IPO Date,Exchange,Cleaned Symbol
SHOP,Shopify Inc,,2015,TSX,SHOP
RY,Royal Bank of Canada,,1997,TSX,RY
TD,The Toronto-Dominion Bank,,1995,TSX,TD
BAM.A,Brookfield Asset Management Inc,,1999,TSX,BAM.A
ENB,Enbridge Inc,,1995,TSX,ENB
BNS,The Bank of Nova Scotia,,1995,TSX,BNS
CNR,Canadian National Railway Company,,1996,TSX,CNR
BMO,Bank of Montreal,,1995,TSX,BMO
TRI,Thomson Reuters Corporation,,2008,TSX,TRI
CM,Canadian Imperial Bank of Commerce,,1999,TSX,CM
NGT,Newmont Goldcorp Corp,,2019,TSX,NGT
CP,Canadian Pacific Railway Limited,,2001,TSX,CP
TRP,TransCanada Corporation,,1995,TSX,TRP
BCE,BCE Inc,,1996,TSX,BCE
ATD-B,Alimentation Couche-Tard Inc,,1999,TSX,ATD.B
CNQ,Canadian Natural Resources Limited,,1995,TSX,CNQ
ABX,Barrick Gold Corporation,,1995,TSX,ABX
MFC,Manulife Financial Corporation,,1999,TSX,MFC
NTR,Nutrien Ltd,,2018,TSX,NTR
CSU,Constellation Software Inc,,2006,TSX,CSU
WCN,"Waste Connections, Inc",,2016,TSX,WCN
SU,Suncor Energy Inc,,1999,TSX,SU
T,TELUS Corporation,,1999,TSX,T
SLF,Sun Life Financial Inc,,2000,TSX,SLF
FNV,Franco-Nevada Corporation,,2007,TSX,FNV
GWO,Great-West Lifeco Inc,,1996,TSX,GWO
RCI-B,Rogers Communications Inc,,1999,TSX,RCI.B
MG,Magna International Inc,,2000,TSX,MG
NA,National Bank of Canada,,1999,TSX,NA
IFC,Intact Financial Corporation,,2009,TSX,IFC
GIB-A,CGI Group Inc,,1999,TSX,GIB.A
L,Loblaw Companies Limited,,1999,TSX,L
FTS,Fortis Inc,,1995,TSX,FTS
POW,Power Corporation of Canada,,1999,TSX,POW
WPM,Wheaton Precious Metals Corp,,2004,TSX,WPM
IMO,Imperial Oil Limited,,1995,TSX,IMO
